Stake	Date	Latitude	Longitude	Elevation	Days	SMB	t2m	rh	u2	SWin	LWin	tp	sf	msl	press	tcc	t2m_an	PDD
R15	2008-01-05	-62.1788734919	-58.90792111060001	54.0	249	0.49203	-4.7734947	85.69315	9.144257	94.32177	257.00558	0.57107145	0.5309396	991.239	984.7272	0.83734435	-0.5703756	11.509155
R15	2008-03-11	-62.1788734919	-58.90792111060001	54.0	66	-0.4679999999999999	1.1269732	90.4452	9.97075	164.60934	287.07053	0.16969514	0.044424586	990.5988	984.16473	0.81436175	0.9374345	77.33594
R15	2009-01-24	-62.1788734919	-58.90792111060001	54.0	319	0.0	-1.599319	84.60508	10.700911	91.60525	270.67188	0.73901576	0.5558525	990.6187	984.14636	0.8434184	0.24075565	84.17969
R15	2009-03-01	-62.1788734919	-58.90792111060001	54.0	36	-0.6659999999999999	1.2404653	87.605934	9.004143	170.78474	278.71103	0.07877597	0.028722126	986.6804	980.27057	0.7804762	0.9664364	46.009033
R15	2009-12-13	-62.1788734919	-58.90792111060001	54.0	287	1.7799	-3.8321579	83.56118	9.51919	77.75447	260.9451	0.8265548	0.74012744	989.51105	983.0161	0.86227655	-0.32982573	39.49579
R15	2010-03-23	-62.1788734919	-58.90792111060001	54.0	100	0.9847	-0.07876678	86.292274	9.256491	178.80269	276.5991	0.25779477	0.17738532	990.8252	984.3711	0.80953455	0.6293187	38.06717
R15	2010-11-09	-62.1788734919	-58.90792111060001	54.0	231	1.836	-2.41599	85.35813	11.47059	46.819065	270.819	0.6752747	0.565771	989.264	982.79016	0.86950314	0.032062873	21.213501
R15	2011-03-22	-62.1788734919	-58.90792111060001	54.0	133	0.24	0.4852575	87.21354	9.674406	189.8252	279.22235	0.33827996	0.17163268	988.26385	981.8346	0.80730957	0.77344996	97.93631
R15	2011-12-04	-62.1788734919	-58.90792111060001	54.0	257	1.2361	-4.527572	84.31082	9.981805	62.948547	261.0865	0.66524804	0.5798087	993.35974	986.8317	0.8734588	-0.5075325	10.8302
R15	2012-03-30	-62.1788734919	-58.90792111060001	54.0	117	-0.928	0.39887148	86.93685	9.351725	178.69414	274.92422	0.24169609	0.101137094	987.4763	981.0509	0.776025	0.7513748	81.29425
R1	2007-12-09	-62.1776204178	-58.902405662700005	82.0	222	0.7584000000000001	-5.6191716	85.39867	9.180738	74.559166	255.00299	0.53385365	0.5092804	991.847	982.0758	0.84706485	-0.7220808	1.1364441
R1	2008-03-17	-62.1776204178	-58.902405662700005	82.0	99	-0.629	0.5906424	90.11584	9.647945	185.90149	282.87726	0.23593573	0.07407776	988.93585	979.26935	0.7937244	0.86478007	74.449554
R1	2008-11-03	-62.1776204178	-58.902405662700005	82.0	231	0.42312	-2.5973895	83.8413	10.828569	41.320126	269.13474	0.56176883	0.46117195	992.7844	983.0368	0.8641873	0.050107833	15.195679
R1	2009-03-27	-62.1776204178	-58.902405662700005	82.0	144	-1.42	0.45559987	87.84784	9.743118	192.17558	277.6915	0.30844396	0.14064321	985.8895	976.2494	0.79513097	0.8302712	106.89688
R1	2009-12-13	-62.1776204178	-58.902405662700005	82.0	261	0.8925	-4.5946174	83.11261	9.56667	76.15196	258.41113	0.7482201	0.715675	989.6078	979.8643	0.86496115	-0.4602653	2.344696
R1	2010-03-15	-62.1776204178	-58.902405662700005	82.0	92	0.1088	-0.17811535	86.56937	9.206228	188.53938	276.0749	0.20795989	0.12842359	991.76105	982.05493	0.79804933	0.6683311	26.879547
R1	2010-12-11	-62.1776204178	-58.902405662700005	82.0	271	0.5161	-2.4197483	85.42632	11.242739	68.80625	271.24142	0.8188709	0.69028366	988.4064	978.7041	0.8646951	0.09550243	13.835388
R1	2011-03-22	-62.1776204178	-58.902405662700005	82.0	101	-0.7395999999999999	0.55803365	88.09194	9.509633	178.24478	281.59766	0.24355364	0.095106654	989.5499	979.87555	0.8055818	0.85644716	75.26279
R1	2011-11-17	-62.1776204178	-58.902405662700005	82.0	240	0.60016	-5.0094776	84.52137	9.958895	52.279125	260.3887	0.6299217	0.5460791	993.58026	983.794	0.87522066	-0.56627905	5.4582214
R1	2012-03-30	-62.1776204178	-58.902405662700005	82.0	134	-1.315	-0.07964093	86.47913	9.431873	184.3024	273.83414	0.2757339	0.13487421	987.881	978.2141	0.7824417	0.6934953	59.218536
R13	2008-02-17	-62.170879157600005	-58.8585964292	84.0	292	0.0	-4.312922	86.647804	9.247872	110.0749	260.12778	0.64596164	0.5553176	991.08575	981.00775	0.8280088	-0.35705137	41.760498
R13	2008-03-11	-62.170879157600005	-58.8585964292	84.0	23	-0.432	1.2504259	92.09457	10.999036	109.57396	295.58826	0.082795665	0.016767005	992.0561	982.07306	0.8686687	1.0307117	31.147614
R13	2008-11-03	-62.170879157600005	-58.8585964292	84.0	237	0.97908	-2.6043077	84.063095	10.853302	43.200256	268.3012	0.5792264	0.47332162	992.6213	982.5529	0.8594634	0.06915812	19.321838
R13	2009-03-27	-62.170879157600005	-58.8585964292	84.0	144	-0.7365999999999999	0.4379346	88.03733	9.86236	192.66626	277.44397	0.30441618	0.1460634	985.8952	975.9527	0.79728687	0.82803774	106.692474
R13	2009-12-13	-62.170879157600005	-58.8585964292	84.0	261	0.561	-4.889638	83.33136	9.565686	76.452	257.52698	0.748343	0.7198142	989.6846	979.60223	0.8639414	-0.5009117	2.3023376
R13	2010-03-29	-62.170879157600005	-58.8585964292	84.0	106	-0.2087999999999999	-0.34611127	86.63591	9.383474	172.52725	276.65552	0.2706138	0.1914942	990.7457	980.73846	0.814539	0.6324595	28.79129
R13	2010-11-09	-62.170879157600005	-58.8585964292	84.0	225	0.9565	-2.829142	85.70393	11.615911	46.941875	269.40222	0.65350676	0.5601003	989.33246	979.2934	0.8675889	0.013073714	10.808228
R13	2011-03-22	-62.170879157600005	-58.8585964292	84.0	133	-0.2826	0.23304886	87.438225	9.789509	190.77379	278.98557	0.331138	0.17412081	988.29626	978.3257	0.80918556	0.7769295	77.95633
