Event	Date/Time	Latitude	Longitude	Elevation [m]	Diff
PG05	2014-05-22	-62.227069	-58.598800	247.9	0.17
PG05	2014-06-05	-62.227069	-58.598800	247.9	0.18
PG05	2014-06-19	-62.227069	-58.598800	247.9	0.21
PG05	2014-07-31	-62.227069	-58.598800	247.9	0.38
PG05	2014-08-30	-62.227069	-58.598800	247.9	0.01
PG05	2014-09-10	-62.227069	-58.598800	247.9	0.04
PG05	2014-09-29	-62.227069	-58.598800	247.9	-0.01
PG05	2014-10-31	-62.227069	-58.598800	247.9	0.02
PG05	2014-11-15	-62.227069	-58.598800	247.9	0.17
PG05	2014-11-30	-62.227069	-58.598800	247.9	0.02
PG05	2014-12-12	-62.227069	-58.598800	247.9	0.11
PG05	2014-12-30	-62.227069	-58.598800	247.9	0.03
PG05	2015-01-14	-62.227069	-58.598800	247.9	0.02
PG05	2015-01-26	-62.227069	-58.598800	247.9	-0.07
PG05	2015-02-06	-62.227069	-58.598800	247.9	-0.47
PG05	2015-02-24	-62.227069	-58.598800	247.9	-0.22
PG05	2015-03-14	-62.227069	-58.598800	247.9	0.00
PG05	2015-03-29	-62.227069	-58.598800	247.9	-0.17
PG05	2015-04-13	-62.227069	-58.598800	247.9	-0.06
PG05	2015-05-02	-62.227069	-58.598800	247.9	-0.01
PG05	2015-05-19	-62.227069	-58.598800	247.9	-0.10
PG05	2015-06-17	-62.227069	-58.598800	247.9	0.48
PG05	2015-07-13	-62.227069	-58.598800	247.9	0.19
PG05	2015-07-29	-62.227069	-58.598800	247.9	0.15
PG05	2015-08-21	-62.227069	-58.598800	247.9	0.04
PG05	2015-09-14	-62.227069	-58.598800	247.9	0.06
PG05	2015-10-08	-62.227069	-58.598800	247.9	0.00
PG05	2015-10-27	-62.227069	-58.598800	247.9	0.02
PG05	2015-11-19	-62.227069	-58.598800	247.9	0.25
PG05	2015-12-26	-62.227069	-58.598800	247.9	0.00
PG05	2016-01-04	-62.227069	-58.598800	247.9	-0.35
PG05	2016-02-17	-62.227069	-58.598800	247.9	-0.35
PG05	2016-02-25	-62.227069	-58.598800	247.9	-0.02
PG05	2016-03-10	-62.227069	-58.598800	247.9	-0.32
PG05	2016-04-08	-62.227069	-58.598800	247.9	-0.26
PG05	2016-04-23	-62.227069	-58.598800	247.9	0.08
PG06	2010-11-22	-62.229879	-58.606324	223.7	2.08
PG06	2010-12-05	-62.229879	-58.606324	223.7	0.26
PG06	2011-01-09	-62.229879	-58.606324	223.7	-0.39
PG06	2011-01-25	-62.229879	-58.606324	223.7	0.06
PG06	2011-03-04	-62.229879	-58.606324	223.7	-1.32
PG06	2011-04-06	-62.229879	-58.606324	223.7	0.14
PG06	2011-10-15	-62.229879	-58.606324	223.7	0.91
PG06	2012-01-24	-62.229879	-58.606324	223.7	-1.15
PG06	2012-01-27	-62.229879	-58.606324	223.7	0.04
PG06	2012-02-08	-62.229879	-58.606324	223.7	-0.59
PG06	2012-02-20	-62.229879	-58.606324	223.7	-0.05
PG06	2012-03-04	-62.229879	-58.606324	223.7	-0.21
PG06	2012-03-13	-62.229879	-58.606324	223.7	-0.09
PG06	2012-03-23	-62.229879	-58.606324	223.7	-0.06
PG06	2012-04-13	-62.229879	-58.606324	223.7	0.03
PG06	2012-04-21	-62.229879	-58.606324	223.7	0.07
PG06	2012-05-03	-62.229879	-58.606324	223.7	0.17
PG06	2012-05-11	-62.229879	-58.606324	223.7	0.06
PG06	2012-05-21	-62.229879	-58.606324	223.7	-0.02
PG06	2012-05-30	-62.229879	-58.606324	223.7	0.10
PG06	2012-06-12	-62.229879	-58.606324	223.7	0.01
PG06	2012-07-01	-62.229879	-58.606324	223.7	0.47
PG06	2012-07-12	-62.229879	-58.606324	223.7	0.02
PG06	2012-07-23	-62.229879	-58.606324	223.7	0.01
PG06	2012-07-27	-62.229879	-58.606324	223.7	0.21
PG06	2012-08-05	-62.229879	-58.606324	223.7	-0.17
PG06	2012-08-15	-62.229879	-58.606324	223.7	0.10
PG06	2012-08-28	-62.229879	-58.606324	223.7	-0.01
PG06	2012-09-04	-62.229879	-58.606324	223.7	0.01
PG06	2012-09-12	-62.229879	-58.606324	223.7	0.21
PG06	2012-09-27	-62.229879	-58.606324	223.7	-0.01
PG06	2012-10-09	-62.229879	-58.606324	223.7	0.22
PG06	2012-10-18	-62.229879	-58.606324	223.7	-0.03
PG06	2012-10-27	-62.229879	-58.606324	223.7	0.18
PG06	2012-11-03	-62.229879	-58.606324	223.7	0.00
PG06	2012-11-10	-62.229879	-58.606324	223.7	0.00
PG06	2012-11-24	-62.229879	-58.606324	223.7	-0.11
PG06	2012-12-05	-62.229879	-58.606324	223.7	0.04
PG06	2012-12-14	-62.229879	-58.606324	223.7	-0.04
