Date/Time	Event	Latitude	Longitude	Elevation [m]	Diff	TTT [°C]	RH [%]	ff [m/s]	SWD [W/m**2]	LWD [W/m**2]	Precip [mm/h]	PPPP [hPa]	Clouds [octa]	t2m_an	PDD
2011-10-15	PG05	-62.22706899999999	-58.5988	247.9	1.2	-0.8990037234042557	91.63839095744682	6.485593971631204	249.90190602836893	282.73492907801403	0.0	964.9303634751776	6.988031914893617	0.7238464030256947	0.0
2012-01-16	PG05	-62.22706899999999	-58.5988	247.9	0.06	-0.8990037234042557	91.63839095744682	6.485593971631204	249.90190602836893	282.73492907801403	340.29999999999995	964.9303634751776	6.988031914893617	0.7238464030256947	23.0
2012-07-23	PG05	-62.22706899999999	-58.5988	247.9	-0.01	-4.230509649122808	89.94668201754386	9.005646929824561	81.79214912280706	265.14736842105265	493.5999999999999	966.763442982456	6.748684210526315	-0.02121438319487987	35.0
2012-07-27	PG05	-62.22706899999999	-58.5988	247.9	0.04	-6.910733333333333	92.08291666666666	8.983916666666667	21.40416666666667	265.2916666666667	47.1	946.9916666666666	7.15	-0.6206218613533332	0.0
2012-08-15	PG05	-62.22706899999999	-58.5988	247.9	0.1	-8.300983333333331	90.79141666666666	10.889333333333333	32.125	259.16041666666666	32.4	959.5722916666664	7.3125	-0.9315385402182352	0.0
2012-09-12	PG05	-62.22706899999999	-58.5988	247.9	0.1	-5.42268448275862	90.10875	10.70087643678161	60.241954022988516	257.5933908045977	6.6000000000000005	968.2534482758622	6.797413793103448	-0.2878333653206593	2.0
2012-09-27	PG05	-62.22706899999999	-58.5988	247.9	0.0	-7.037639583333332	92.11174479166667	10.032343750000003	121.165625	250.8671875	81.9	977.0747395833332	6.328125	-0.649003281800878	1.0
2012-10-09	PG05	-62.22706899999999	-58.5988	247.9	0.28	-3.0796628205128207	90.4023717948718	7.569166666666667	132.64903846153845	268.099358974359	62.400000000000006	968.7217948717948	7.115384615384615	0.2361619691400399	2.0
2012-10-18	PG05	-62.22706899999999	-58.5988	247.9	0.02	-5.207775	90.81370833333332	10.677333333333333	154.95374999999999	265.59166666666664	24.2	960.8391666666666	7.425	-0.23977082790948545	0.0
2012-10-27	PG05	-62.22706899999999	-58.5988	247.9	0.13	-6.814441666666665	87.65158333333333	8.074000000000002	188.50666666666666	248.15	57.70000000000001	957.0200000000001	6.6875	-0.599087112061935	0.0
2012-11-03	PG05	-62.22706899999999	-58.5988	247.9	0.04	-5.70993125	85.54255208333335	6.484322916666667	164.47239583333334	261.13541666666663	26.5	960.1427083333333	7.71875	-0.35207347385176463	0.0
2012-11-10	PG05	-62.22706899999999	-58.5988	247.9	-0.02	-6.00618125	85.075625	7.049583333333332	213.90885416666663	258.80729166666663	12.399999999999999	967.9182291666667	7.359375	-0.418327072926555	0.0
2012-11-24	PG05	-62.22706899999999	-58.5988	247.9	-0.11	-2.317372222222222	92.82430555555557	7.748527777777779	229.03527777777782	280.9444444444444	35.4	964.8494444444445	7.483333333333333	0.4066412794442675	1.0
2012-12-05	PG05	-62.22706899999999	-58.5988	247.9	0.03	-3.763559722222222	84.74635416666668	5.6852083333333345	251.8166666666667	260.07986111111114	2.7	960.5788194444445	6.8125	0.08321469104942056	0.0
2012-12-14	PG05	-62.22706899999999	-58.5988	247.9	-0.05	-3.1928166666666664	82.81075	3.7083333333333335	268.73833333333334	259.65	3.8000000000000007	966.3816666666665	6.5125	0.21085614785110357	0.0
2012-12-22	PG05	-62.22706899999999	-58.5988	247.9	0.01	-2.4813722222222223	85.0564814814815	4.223935185185185	274.72962962962964	266.80555555555554	8.4	977.9217592592593	6.347222222222222	0.36996418155982647	0.0
