Stake	Date	Date1	Latitude	Longitude	Elevation	Days	SMB	SMB1	SMB_diff
R1	2010-01-25	2010-01-18	-62.1776204178	-58.902405662700005	82.0	7	0.39189999999999997	52.5	-0.13310000000000002
R1	2010-02-01	2010-01-25	-62.1776204178	-58.902405662700005	82.0	7	0.4058	39.19	0.013900000000000006
R1	2010-02-15	2010-02-01	-62.1776204178	-58.902405662700005	82.0	14	0.37670000000000003	40.58	-0.029099999999999966
R1	2010-02-22	2010-02-15	-62.1776204178	-58.902405662700005	82.0	7	0.3245	37.67	-0.05219999999999999
R1	2010-03-01	2010-02-22	-62.1776204178	-58.902405662700005	82.0	7	0.3156	32.45	-0.008900000000000042
R1	2010-03-08	2010-03-01	-62.1776204178	-58.902405662700005	82.0	7	0.19039999999999999	31.56	-0.1252
R1	2010-03-15	2010-03-08	-62.1776204178	-58.902405662700005	82.0	7	0.10880000000000001	19.04	-0.08159999999999998
R1	2010-03-23	2010-03-15	-62.1776204178	-58.902405662700005	82.0	8	0.1978	10.88	0.08900000000000001
R1	2010-03-29	2010-03-23	-62.1776204178	-58.902405662700005	82.0	6	0.15960000000000002	19.78	-0.038200000000000005
R1	2010-04-05	2010-03-29	-62.1776204178	-58.902405662700005	82.0	7	0.0684	15.96	-0.0912
R1	2010-04-12	2010-04-05	-62.1776204178	-58.902405662700005	82.0	7	0.0	6.84	-0.0684
R1	2010-04-14	2010-04-12	-62.1776204178	-58.902405662700005	82.0	2	0.0	0.0	-0.0
R1	2010-04-20	2010-04-14	-62.1776204178	-58.902405662700005	82.0	6	0.016399999999999998	0.0	0.016399999999999998
R1	2010-04-27	2010-04-20	-62.1776204178	-58.902405662700005	82.0	7	0.1	1.64	0.0836
R1	2010-05-13	2010-04-27	-62.1776204178	-58.902405662700005	82.0	16	0.08	10.0	-0.02
R1	2010-05-20	2010-05-13	-62.1776204178	-58.902405662700005	82.0	7	0.09	8.0	0.01
R1	2010-11-09	2010-05-20	-62.1776204178	-58.902405662700005	82.0	173	0.5118	9.0	0.4218
