time	smb	accum	melt	MO	ronoff
1989-01-31	-0.4885	0.0020511972	0.49055119722522794	0.0010729207050835482	0.4894782765201444
1989-02-28	-0.6699166666666666	0.005188661	0.6751053278284768	0.002727018478280842	0.6723783093501959
1989-03-31	-0.5953636363636364	0.020573141	0.6159367774169554	0.010794125122383688	0.6051426522945718
1989-04-30	0.2335	0.05048589	0.0	0.025543887584421367	0.0
1989-05-31	-0.1992727272727272	0.05578835	0.2550610766329548	0.02883281863167033	0.22622825800128446
1989-06-30	0.3163181818181818	0.09907881	0.0	0.051027393930570625	0.0
1989-07-31	-0.151	0.05255418	0.2035541789829731	0.027226455572331977	0.17632772341064112
1989-08-31	0.22822727272727272	0.06291323	0.0	0.032305606808486396	0.0
1989-09-30	0.23045454545454547	0.076254286	0.0	0.03890619132903305	0.0
1989-10-31	-0.02631818181818182	0.08013466	0.10645284182375128	0.0413659880990723	0.06508685372467898
1989-11-30	-0.18959090909090914	0.05825919	0.24785009821978488	0.03016760281128921	0.21768249540849566
1989-12-31	-0.42590909090909085	0.032860808	0.4587698989835652	0.01710901446596709	0.4416608845175981
1990-01-31	-0.5360454545454545	0.030225541	0.5662709959880872	0.015829342328495147	0.550441653659592
1990-02-28	-0.6870530303030302	0.007129129	0.6941821593253901	0.0037554223597793084	0.6904267369656107
1990-03-31	-0.5931590909090909	0.043579277	0.6367383675602349	0.022761542887711525	0.6139768246725235
1990-04-30	0.2568636363636364	0.05239276	0.0	0.02649105851730078	0.0
1990-05-31	0.24673636363636364	0.050116777	0.0	0.025301507938047866	0.0
1990-06-30	0.4193181818181818	0.0676037	0.0	0.03429420275914717	0.0
1990-07-31	0.45259090909090904	0.09855173	0.0	0.049697415190463855	0.0
1990-08-31	0.32643181818181816	0.074863315	0.0	0.03773211022823973	0.0
1990-09-30	0.07388636363636363	0.033938397	0.0	0.01733227298217736	0.0
1990-10-31	0.19511363636363635	0.07452139	0.0	0.038310465567362145	0.0
1990-11-30	-0.18527272727272728	0.06038105	0.24565377842567185	0.03121815615512871	0.21443562227054314
1990-12-31	-0.41786363636363627	0.027465329	0.4453289649378169	0.014278694733028313	0.4310502702047886
1991-01-31	-0.5992045454545455	0.023000307	0.6222048528356986	0.012085666671671713	0.6101191861640269
1991-02-28	-0.5112954545454544	0.049231265	0.5605267192856831	0.02571185370141554	0.5348148655842676
1991-03-31	-0.42586363636363633	0.0591965	0.4850601346086372	0.030709586276520442	0.45435054833211674
1991-04-30	0.12554545454545452	0.05587829	0.0	0.02863915474034982	0.0
1991-05-31	0.34940909090909095	0.06274689	0.0	0.031168233756776076	0.0
1991-06-30	0.428474025974026	0.086247064	0.0	0.042346534712225735	0.0
1991-07-31	0.39336363636363636	0.0760818	0.0	0.03827536635541773	0.0
1991-08-31	0.4134318181818182	0.09653707	0.0	0.0482723586470847	0.0
1991-09-30	0.10165909090909091	0.046108756	0.0	0.023558580846070747	0.0
1991-10-31	0.20172727272727276	0.060248915	0.0	0.030728742126599602	0.0
