Date/Time	Event	Latitude	Longitude	Elevation [m]	Diff
2016-01-04	PG05	-62.22706899999999	-58.5988	247.9	-0.35
2016-02-17	PG05	-62.22706899999999	-58.5988	247.9	-0.35
2016-02-25	PG05	-62.22706899999999	-58.5988	247.9	-0.02
2016-03-10	PG05	-62.22706899999999	-58.5988	247.9	-0.32
2016-04-08	PG05	-62.22706899999999	-58.5988	247.9	-0.26
2016-04-23	PG05	-62.22706899999999	-58.5988	247.9	0.08
2011-10-15	PG06	-62.229879000000004	-58.606324	223.7	0.91
2012-01-24	PG06	-62.229879000000004	-58.606324	223.7	-1.15
2012-01-27	PG06	-62.229879000000004	-58.606324	223.7	0.04
2012-02-08	PG06	-62.229879000000004	-58.606324	223.7	-0.59
2012-02-20	PG06	-62.229879000000004	-58.606324	223.7	-0.05
2012-03-04	PG06	-62.229879000000004	-58.606324	223.7	-0.21
2012-03-13	PG06	-62.229879000000004	-58.606324	223.7	-0.09
2012-03-23	PG06	-62.229879000000004	-58.606324	223.7	-0.06
2012-04-13	PG06	-62.229879000000004	-58.606324	223.7	0.03
2012-04-21	PG06	-62.229879000000004	-58.606324	223.7	0.07
2012-05-03	PG06	-62.229879000000004	-58.606324	223.7	0.17
2012-05-11	PG06	-62.229879000000004	-58.606324	223.7	0.06
2012-05-21	PG06	-62.229879000000004	-58.606324	223.7	-0.02
2012-05-30	PG06	-62.229879000000004	-58.606324	223.7	0.1
2012-06-12	PG06	-62.229879000000004	-58.606324	223.7	0.01
2012-07-01	PG06	-62.229879000000004	-58.606324	223.7	0.47
2012-07-12	PG06	-62.229879000000004	-58.606324	223.7	0.02
2012-07-23	PG06	-62.229879000000004	-58.606324	223.7	0.01
2012-07-27	PG06	-62.229879000000004	-58.606324	223.7	0.21
2012-08-05	PG06	-62.229879000000004	-58.606324	223.7	-0.17
2012-08-15	PG06	-62.229879000000004	-58.606324	223.7	0.1
2012-08-28	PG06	-62.229879000000004	-58.606324	223.7	-0.01
2012-09-04	PG06	-62.229879000000004	-58.606324	223.7	0.01
2012-09-12	PG06	-62.229879000000004	-58.606324	223.7	0.21
2012-09-27	PG06	-62.229879000000004	-58.606324	223.7	-0.01
2012-10-09	PG06	-62.229879000000004	-58.606324	223.7	0.22
